2016-04-27_14:16 b4:74:9f:f0:8d:a1 30:5a:3a:8a:6b:a 60 b4:74:9f:f0:8d:a1 192.168.1.232 0:0:0:0:0:0 192.168.1.2 ARP Request
2016-04-27_14:16 30:5a:3a:8a:6b:a b4:74:9f:f0:8d:a1 42 30:5a:3a:8a:6b:a 192.168.1.2 b4:74:9f:f0:8d:a1 192.168.1.232 ARP Reply
2016-04-27_14:16 0:27:15:9:82:df ff:ff:ff:ff:ff:ff 60 0:27:15:9:82:df 192.168.1.231 0:0:0:0:0:0 8.8.8.8 ARP Request
2016-04-27_14:16 0:27:15:9:82:df ff:ff:ff:ff:ff:ff 60 0:27:15:9:82:df 192.168.1.231 0:0:0:0:0:0 8.8.8.8 ARP Request
2016-04-27_14:16 0:27:15:9:82:df ff:ff:ff:ff:ff:ff 60 0:27:15:9:82:df 192.168.1.231 0:0:0:0:0:0 8.8.8.8 ARP Request
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 b4:74:9f:f0:8d:a1 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 30:5a:3a:8a:6b:a 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 30:5a:3a:8a:6b:a 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 30:5a:3a:8a:6b:a 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:16 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 30:5a:3a:8a:6b:a 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
2016-04-27_14:17 b4:74:9f:f0:8d:a1 8:0:27:24:19:8f 60 30:5a:3a:8a:6b:a 192.168.1.2 8:0:27:24:19:8f 192.168.1.233 ARP Reply
